"AI1, AI2, AI3, AI4","","AD8422","4","Part 1","AD8422_custom"
"C1, C3, C4, C5, C6, C9, C12, C13, C14, C15, C18, C19, C21, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C40, C41, C43, C46, C47, C50, C51, C53, C56, C57, C58, C61, C62, C63, C79, C80","0.1u","CAP_0603","43","Part 1","CAP_0603"
"C2, C20, C42, C52, C65, C69","1u","CAP_0603","6","Part 1","CAP_0603"
"C7, C8, C16, C17, C38, C39, C48, C49, C64","10u","CAP_0603","9","Part 1","CAP_0603"
"C10, C22, C44, C54","94n","CAP_0603","4","Part 1","CAP_0603"
"C11, C23, C45, C55","3u","CAP_0603","4","Part 1","CAP_0603"
"C66, C70","0.022u","CAP_0603","2","Part 1","CAP_0603"
"C67","100u","CAP_1210","1","Part 1","CAP_1210"
"C68","DNP","CAP_0603","1","Part 1","CAP_0603"
"C71, C74, C75, C76, C77, C78","4.7u","CAP_0603","6","Part 1","CAP_0603"
"C72","0.47u","CAP_0603","1","Part 1","CAP_0603"
"C73","5pF","CAP_0603","1","Part 1","CAP_0603"
"D1","","PMEG3002AEB","1","Part 1","PMEG3002AEB"
"J1","","644456-6","1","Part 1","HDR-1x6T/2.54/15x2"
"L2","4.7uH","LQH2MCN100K02L","1","Part 1","LQH2MCN100K02L"
"L3","","ferrite-200","1","Part 1","INDC_0603"
"L4","","Ferrite-200","1","Part 1","IND_0603"
"Protection, Protection-2","","TPD4E1B0","2","Part 1","tpd4e1b06_custom"
"R1, R8, R18, R23, R33, R41, R51, R56","26.7k","RES_0603","8","Part 1","RES_0603"
"R2, R3, R9, R16, R17, R19, R24, R31, R32, R34, R42, R49, R50, R52, R57, R64","3.4k","RES_0603","16","Part 1","RES_0603"
"R4, R37, R38, R39, R65, R66, R67, R68","250","RES_0603","8","Part 1","RES_0603"
"R5, R20, R35, R53","37.4k","RES_0603","4","Part 1","RES_0603"
"R6, R21, R36, R54","75k","RES_0603","4","Part 1","RES_0603"
"R7, R22, R40, R55","60.4k","RES_0603","4","Part 1","RES_0603"
"R10, R12, R25, R27, R43, R45, R58, R60","20k","RES_0603","8","Part 1","RES_0603"
"R11, R26, R44, R59, R72, R73, R74, R75, R77","10k","RES_0603","9","Part 1","RES_0603"
"R13, R14, R28, R29, R46, R47, R61, R62","5k","RES_0603","8","Part 1","RES_0603"
"R15, R30, R48, R63","40k","RES_0603","4","Part 1","RES_0603"
"R69, R79, R80","","RES_0603","3","Part 1","RES_0603"
"R70, R81","32.4k","RES_0603","2","Part 1","RES_0603"
"R71","","201XR","1","Part 1","P160KN2-0EC15B1MEG"
"R76","2.5k","RES_0603","1","Part 1","RES_0603"
"R78","DNP","RES_0603","1","Part 1","RES_0603"
"R82","11.8k","RES_0603","1","Part 1","RES_0603"
"R83","1k","RES_0603","1","Part 1","RES_0603"
"R84","2.125k","RES_0603","1","Part 1","RES_0603"
"R85","250k","RES_0603","1","Part 1","RES_0603"
"R86","10","RES_0603","1","Part 1","RES_0603"
"SortieADC, Supply-2","","644456-2","2","Part 1","HDR-1x2T/2.54/5x2"
"Sortieanal","","644456-4","1","Part 1","HDR-1x4T/2.54/10x2"
"Supply","","CON6M","1","Part 1","HDR-1x6T/2.54/15x2"
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22","","TESTPOINT","22","Part 1","TESTPOINT"
"U1, U2, U3, U4, U5, U6, U7, U8, U9, U10","","LM324","10","Part 1","LM324_custom"
"U12, U13, U14, U15, U16, U17","","EMI T filter","6","Part 1","EMI103T-RC"
"U18","","ADS122C04","1","Part 1","ADS122C04_costum"
"U19","","LMZ12002","1","Part 1","LMZ12002_custom"
"U20","","CM4732V301R-10","1","Part 1","CM4732V301R-10_costum"
"U21","","LT3483IS6","1","Part 1","SOT23-6"
"","","","221","",""
